id,title,year,length,seasons,episodes,image,description
1,"Arcane: League of Legends",2021,40,2,18,"images/Arcane - League of Legends.jpg","На фоне конфликта между Пилтовером и подземным Зауном две сестры оказываются по разные стороны войны технологий и магии."
2,"Blade Runner: Black Lotus",2021,22,1,13,"images/Blade Runner - Black Lotus.jpg","Юная репликантка Элль пытается восстановить память и выяснить правду о своём прошлом в мрачном Лос-Анджелесе 2032 года."
3,"Dragon's Dogma",2020,25,1,7,"images/Dragon's Dogma.jpg","После трагедии Итан отправляется в опасное путешествие, чтобы уничтожить дракона и сталкивается с семью смертными грехами."
4,"Ghost in the Shell: SAC_2045",2020,24,2,24,"images/Ghost in the Shell.jpg","В посткиберпанковом будущем майор Мотоко Кусанаги и отряд Section 9 расследуют угрозу, связанную с появлением постлюдей."
5,"Jurassic World: Chaos Theory",2024,24,1,40,"images/Jurassic World - Chaos Theory.jpg","Команда бывших участников Camp Cretaceous сталкивается с новым заговором и опасностями в мире, где динозавры живут среди людей."
6,"Love, Death & Robots",2019,15,4,45,"images/Love, Death & Robots.jpg","Антология анимационных короткометражек, объединяющая научную фантастику, хоррор, комедию, фэнтези и киберпанк."
7,"Megamind Rules",2024,22,1,16,"images/Megamind Rules.jpg","Мегамозг пытается стать настоящим героем после жизни злодея."
8,"My Dad the Bounty Hunter",2023,24,2,20,"images/My Dad the Bounty Hunter.jpg","Обычная семья узнаёт, что их отец — межгалактический охотник за головами, и неожиданно оказывается втянута в его опасные миссии."
9,"Secret Level",2024,30,1,15,"images/Secret Level.jpg","Антология анимационных эпизодов по мотивам видеоигр, где каждая история происходит в отдельной игровой вселенной."
10,"Star Trek: Prodigy",2021,25,2,40,"images/Star Trek - Prodigy.jpg","Группа молодых инопланетян случайно захватывает заброшенный звездолёт и учится работать вместе под руководством голограммы Джейнвэй."
11,"The Amazing Digital Circus",2023,25,1,4,"images/The Amazing Digital Circus.jpg","Группа людей оказывается запертой в цифровом цирке, где их сознание превращено в мультяшных персонажей под контролем загадочной системы."
12,"The Croods: Family Tree",2021,23,7,49,"images/The Croods - Family Tree.jpg","Семьи Крудс и Беттерманов пытаются жить вместе на доисторической ферме, сталкиваясь с хаосом, приключениями и семейными конфликтами."
